model,region,sigma_star,status,mean_lr_sigma0,std_lr_sigma0,mean_lr_max_sigma,std_lr_max_sigma,n_seeds
fourier_linear,all,0.5177872666094303,observed,-0.9855504940194428,0.6868285324887156,2.906053410657743,1.3427425401341813,5
fourier_linear,far_extrap,0.5176132329692315,observed,-0.9851400694059688,0.6863173513329102,2.9067974712723004,1.341837075577745,5
fourier_linear,interpolation,0.5177872764139136,observed,-0.9855505258485182,0.6868284996081223,2.906053400793036,1.3427425998180065,5
fourier_linear,near_extrap,0.5183038136186942,observed,-0.9867662377480313,0.6883532840348883,2.9038389146277823,1.3454356286377105,5
siren,all,1.0134692556804332,observed,-0.09984812856423012,0.11067062090940544,0.13443301746038616,0.10240152377350181,5
siren,far_extrap,0.007105945878949879,observed,-0.027456601402998694,0.1138875054973352,0.0449686618724696,0.13209783634108677,5
siren,interpolation,0.7090593199648565,observed,-0.3511484263693554,0.2592345076214242,0.7212505904104761,0.3873451422594517,5
siren,near_extrap,1.1570253291623462,observed,-0.20311564052726788,0.15882196156201658,-0.008202555995934401,0.12915124580602672,5
snake,all,0.0,left_censored,1.0010400669940769,1.0192446784407876,2.913780546734986,0.8643851781374625,5
snake,far_extrap,0.0,left_censored,1.063749099518987,1.0119647147893043,2.930651155364898,0.8920460786573471,5
snake,interpolation,0.7604688133421706,observed,-1.1931038569270869,0.9782777344394605,2.0089845218896114,0.3078936940041919,5
snake,near_extrap,0.0,left_censored,0.8632739727872029,1.5536819694706911,3.364199128014858,1.582935284908875,5
softplus,all,0.0,left_censored,0.3605296400740769,1.6707386935462065,2.431375169400691,2.5945693588250953,5
softplus,far_extrap,0.0,left_censored,0.3642508611576756,1.6712701978263085,2.434748528095767,2.592120911068075,5
softplus,interpolation,0.9753270659204946,observed,-0.34363946272076307,0.5032838405624244,1.0545153176391,0.3980946434853853,5
softplus,near_extrap,0.0,left_censored,0.17098531306208234,1.7532937226527603,2.2815392559865844,2.802887631887102,5
