model,seed,sigma_rel,region,n_train,n_steps,mse_vanilla,mse_dml,log_ratio,dml_win,grad_mse_vanilla,grad_mse_dml,log_grad_ratio,t_vanilla,t_dml,arm
siren,0,0.0,interpolation,24,1600,0.2275415062904358,0.2275415062904358,0.0,0,133.11911010742188,133.11911010742188,0.0,4.623781681060791,4.623781681060791,vanilla
siren,0,0.0,interpolation,24,1600,0.2275415062904358,0.12798438966274261,-0.5754243662599969,1,133.11911010742188,48.145721435546875,-1.0170120169392924,4.623781681060791,9.209176301956177,dml_train
siren,0,0.0,interpolation,24,1600,0.2275415062904358,0.16314934194087982,-0.33266667741212996,1,133.11911010742188,64.2040023803711,-0.7291787410343022,4.623781681060791,9.690066576004028,dml_da
siren,0,0.0,near_extrap,24,1600,1.4738223552703857,1.4738223552703857,0.0,0,158.82093811035156,158.82093811035156,0.0,4.623781681060791,4.623781681060791,vanilla
siren,0,0.0,near_extrap,24,1600,1.4738223552703857,1.1428970098495483,-0.2542929920572184,1,158.82093811035156,105.81369018554688,-0.4060974843096458,4.623781681060791,9.209176301956177,dml_train
siren,0,0.0,near_extrap,24,1600,1.4738223552703857,0.45736145973205566,-1.1701405280753518,1,158.82093811035156,55.674869537353516,-1.0482485223504918,4.623781681060791,9.690066576004028,dml_da
siren,0,0.0,far_extrap,24,1600,1.0769060850143433,1.0769060850143433,0.0,0,169.46995544433594,169.46995544433594,0.0,4.623781681060791,4.623781681060791,vanilla
siren,0,0.0,far_extrap,24,1600,1.0769060850143433,1.1749610900878906,0.0871428384007203,0,169.46995544433594,158.82546997070312,-0.06486973089782024,4.623781681060791,9.209176301956177,dml_train
siren,0,0.0,far_extrap,24,1600,1.0769060850143433,1.1190381050109863,0.038377287657195044,0,169.46995544433594,149.42910766601562,-0.1258535729432195,4.623781681060791,9.690066576004028,dml_da
siren,0,0.0,all,24,1600,0.8599372506141663,0.8599372506141663,0.0,0,155.5781707763672,155.5781707763672,0.0,4.623781681060791,4.623781681060791,vanilla
