model,seed,sigma_rel,region,n_train,n_steps,mse_vanilla,mse_dml,log_ratio,dml_win,grad_mse_vanilla,grad_mse_dml,log_grad_ratio,t_vanilla,t_dml,arm
siren,0,0.0,interpolation,24,200,0.22531911730766296,0.22531911730766296,0.0,0,129.1899871826172,129.1899871826172,0.0,1.0037572383880615,1.0037572383880615,vanilla
siren,0,0.0,interpolation,24,200,0.22531911730766296,0.1347527951002121,-0.5140757440806563,1,129.1899871826172,63.43539047241211,-0.711262174712438,1.0037572383880615,1.1744050979614258,dml_train
siren,0,0.0,interpolation,24,200,0.22531911730766296,0.1512419730424881,-0.3986366718041704,1,129.1899871826172,70.05888366699219,-0.6119480060731028,1.0037572383880615,1.396963357925415,dml_da
siren,0,0.0,near_extrap,24,200,1.492716670036316,1.492716670036316,0.0,0,166.2529296875,166.2529296875,0.0,1.0037572383880615,1.0037572383880615,vanilla
siren,0,0.0,near_extrap,24,200,1.492716670036316,1.1925501823425293,-0.22450370377784248,1,166.2529296875,108.04488372802734,-0.43096357069623503,1.0037572383880615,1.1744050979614258,dml_train
siren,0,0.0,near_extrap,24,200,1.492716670036316,0.4761005640029907,-1.1427239064527552,1,166.2529296875,64.24603271484375,-0.9507903273211711,1.0037572383880615,1.396963357925415,dml_da
siren,0,0.0,far_extrap,24,200,1.1057133674621582,1.1057133674621582,0.0,0,173.36643981933594,173.36643981933594,0.0,1.0037572383880615,1.0037572383880615,vanilla
siren,0,0.0,far_extrap,24,200,1.1057133674621582,1.1569193601608276,0.04527004034265517,0,173.36643981933594,163.6216278076172,-0.05785088888294093,1.0037572383880615,1.1744050979614258,dml_train
siren,0,0.0,far_extrap,24,200,1.1057133674621582,1.1518305540084839,0.04086175483542077,0,173.36643981933594,151.05909729003906,-0.13773637059680255,1.0037572383880615,1.396963357925415,dml_da
siren,0,0.0,all,24,200,0.8767491579055786,0.8767491579055786,0.0,0,157.45538330078125,157.45538330078125,0.0,1.0037572383880615,1.0037572383880615,vanilla
siren,0,0.0,all,24,200,0.8767491579055786,0.8221356868743896,-0.06431547792313194,1,157.45538330078125,120.96342468261719,-0.2636539129521228,1.0037572383880615,1.1744050979614258,dml_train
siren,0,0.0,all,24,200,0.8767491579055786,0.7056793570518494,-0.21705996270144742,1,157.45538330078125,109.59017944335938,-0.3623943706239034,1.0037572383880615,1.396963357925415,dml_da
siren,0,0.1,interpolation,24,200,0.22531911730766296,0.22531911730766296,0.0,0,129.1899871826172,129.1899871826172,0.0,1.0037572383880615,1.0037572383880615,vanilla
siren,0,0.1,interpolation,24,200,0.22531911730766296,0.13986621797084808,-0.47683131668985795,1,129.1899871826172,74.74037170410156,-0.5472636924183605,1.0037572383880615,1.3316535949707031,dml_train
siren,0,0.1,interpolation,24,200,0.22531911730766296,0.1611691117286682,-0.3350634993876675,1,129.1899871826172,82.88329315185547,-0.44385057806188705,1.0037572383880615,1.3169429302215576,dml_da
siren,0,0.1,near_extrap,24,200,1.492716670036316,1.492716670036316,0.0,0,166.2529296875,166.2529296875,0.0,1.0037572383880615,1.0037572383880615,vanilla
siren,0,0.1,near_extrap,24,200,1.492716670036316,1.218435287475586,-0.20303024397887462,1,166.2529296875,104.92798614501953,-0.46023603294165527,1.0037572383880615,1.3316535949707031,dml_train
siren,0,0.1,near_extrap,24,200,1.492716670036316,0.4880470931529999,-1.117941103724089,1,166.2529296875,79.59825897216797,-0.7365180811589539,1.0037572383880615,1.3169429302215576,dml_da
siren,0,0.1,far_extrap,24,200,1.1057133674621582,1.1057133674621582,0.0,0,173.36643981933594,173.36643981933594,0.0,1.0037572383880615,1.0037572383880615,vanilla
siren,0,0.1,far_extrap,24,200,1.1057133674621582,1.134825587272644,0.025988263438698714,0,173.36643981933594,167.4791717529297,-0.03454850783749594,1.0037572383880615,1.3316535949707031,dml_train
siren,0,0.1,far_extrap,24,200,1.1057133674621582,1.1325852870941162,0.0240121761464739,0,173.36643981933594,153.01426696777344,-0.12487633842661362,1.0037572383880615,1.3169429302215576,dml_da
siren,0,0.1,all,24,200,0.8767491579055786,0.8767491579055786,0.0,0,157.45538330078125,157.45538330078125,0.0,1.0037572383880615,1.0037572383880615,vanilla
