target,fold,n_seeds,vanilla_val_mse,vanilla_grad_mse,dml_fixed_val_mse,dml_fixed_val_pct,dml_fixed_grad_pct,dml_fixed_half_val_mse,dml_fixed_half_val_pct,dml_fixed_half_grad_pct,dml_gradnorm_val_mse,dml_gradnorm_val_pct,dml_gradnorm_grad_pct,dml_relobralo_val_mse,dml_relobralo_val_pct,dml_relobralo_grad_pct,dml_warmup_val_mse,dml_warmup_val_pct,dml_warmup_grad_pct,iv_train_mean,iv_test_mean,iv_drift_abs,n_test_outside_train_moneyness
BS-formula,0,9,8.261380911788298e-10,0.021498740902924255,2.4632282390984523e-10,-70.18381956479416,-99.99926203320936,2.528287672687562e-10,-69.39630674721816,-99.99917297699902,2.925357897624613e-09,254.1003530596649,-99.9970651381489,2.1799791916572795e-10,-73.61241159396691,-99.99911492906605,2.0379925932855987e-09,146.68909653803206,-99.98491306332058,0.27365798399999997,0.22936760400000003,0.044290379999999935,140
BS-formula,1,9,9.051325597597106e-10,0.023456352276889025,4.982014336915744e-10,-44.958180067698144,-99.99904927411485,2.7670829459311133e-10,-69.42897572190196,-99.998790565651,1.9689609878065323e-09,117.53288693196947,-99.9971679669126,3.0668176170857356e-10,-66.11747545685576,-99.99866021075223,2.0966065499482292e-09,131.6353032869378,-99.98209814668299,0.25354500099999994,0.18731497700000002,0.06623002399999992,177
BS-formula,2,9,5.256367967767655e-10,0.019733813428829867,2.8163327632983707e-10,-46.420555399312185,-99.99890582998421,2.3697206559738695e-10,-54.917146773111575,-99.99887138188153,8.067620785278997e-10,53.482800952104256,-99.99848822938297,1.7610114595950503e-10,-66.49756123631998,-99.99892127054818,1.349930456432684e-09,156.81810419486112,-99.98412659276144,0.23306753900000005,0.178170883,0.054896656000000044,210
BS-formula,3,9,6.188252820483111e-10,0.016170181733627276,3.892822813584851e-10,-37.09334562577,-99.99889875800629,2.6140715236452453e-10,-57.75751897219405,-99.99889358530649,6.800940700450891e-09,999.008217301624,-99.98963260491392,3.8582458152643283e-10,-37.65209781840945,-99.9986986159658,1.5962228464556857e-09,157.9440260055616,-99.97901767894044,0.218110729,0.23219951499999997,0.014088785999999964,175
BS-formula,4,9,1.2991403319661934e-09,0.016724680604984044,1.8244464287903402e-09,40.4349002104429,-99.99834998696721,2.4813492262154245e-09,90.99932202551271,-99.99812124187468,4.148109576643773e-09,219.29649742809437,-99.99572486618236,3.044769404327273e-10,-76.56319852899074,-99.99796473052584,2.6397495668532412e-09,103.19202644244699,-99.9808180217291,0.21879226499999999,0.23441585399999998,0.015623588999999993,195
SVI-coherent,0,9,1.1358096691801943e-09,0.021552583343364975,3.3824753788548936e-10,-70.21969903376242,-99.9987434224636,2.4360943264956424e-10,-78.55191417542723,-99.99889347417157,2.621714592935577e-09,130.8234085406123,-99.99675083899132,2.8981476175348544e-10,-74.48386207500168,-99.99894258047672,2.1231305862711635e-09,86.92661665784185,-99.98390235902951,0.27365798399999997,0.22936760400000003,0.044290379999999935,140
SVI-coherent,1,9,8.70210741090871e-10,0.023647650693337217,5.595776101695885e-10,-35.69631081913351,-99.99906584605729,2.8563476409103325e-10,-67.17636882613402,-99.99887423494933,1.3352898516697346e-09,53.44442312856927,-99.99808802312562,2.5732121215297935e-10,-70.4300119497021,-99.99887702672662,1.9992181386679138e-09,129.73953828261781,-99.98441504635215,0.25354500099999994,0.18731497700000002,0.06623002399999992,177
SVI-coherent,2,9,5.669901986900013e-10,0.01995668788353983,2.754569547470161e-10,-51.41768669309562,-99.99905834639459,2.7468933177489237e-10,-51.55307227363956,-99.9989905922064,2.8235286085337916e-09,397.98543520812075,-99.99772064589776,2.338926822749289e-10,-58.748372932138025,-99.9991857083773,1.4733364036821276e-09,159.85218211640833,-99.9842004916725,0.23306753900000005,0.178170883,0.054896656000000044,210
SVI-coherent,3,9,6.024870161686752e-10,0.01629105661992151,4.5051569013919945e-10,-25.22400017777796,-99.99864968183441,2.0075208896198065e-10,-66.67943315382965,-99.9989476537197,1.4604242050426788e-09,142.39928261521428,-99.99792290807835,1.8251114839974947e-10,-69.7070404005764,-99.99881717880834,1.7464479788076628e-09,189.87313119436897,-99.97910450618133,0.218110729,0.23219951499999997,0.014088785999999964,175
SVI-coherent,4,9,6.823105666803062e-10,0.01680866540421507,1.0773775554695048e-09,57.901344062623274,-99.99876417503333,2.206443551801424e-10,-67.66218113055776,-99.9987794550392,1.749726859618939e-09,156.44141320161708,-99.99740951412662,3.4996516755161743e-10,-48.70881609611768,-99.99879242494124,1.4213081748215773e-09,108.30809959997666,-99.98165915391722,0.21879226499999999,0.23441585399999998,0.015623588999999993,195
